Path,SteerAngle,Throttle,Brake,Speed,X_Position,Y_Position,Pitch,Yaw,Roll
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_21_930.jpg,0,0,1,0,99.66999,85.589,0.0002345569,58.41459,4.611818E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_21_988.jpg,0,0,0,0,99.66999,85.589,0.0002345279,58.41459,5.63878E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_055.jpg,0,0,0,0,99.66999,85.589,0.0002344698,58.41459,7.692638E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_121.jpg,0,0,0,0,99.66999,85.589,0.0002344262,58.41459,9.233016E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_188.jpg,0,0,0,0,99.66999,85.589,0.0002343826,58.41459,1.077339E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_230.jpg,0,0,0,0,99.66999,85.589,0.0002342799,58.41459,1.048294E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_274.jpg,0,0,0,0,99.66999,85.589,0.0002343972,58.41459,1.025998E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_324.jpg,0,0,0,0,99.66999,85.589,0.0002344117,58.41459,9.746497E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_374.jpg,0,0,0,0,99.66999,85.589,0.000234338,58.41459,8.429085E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_424.jpg,0,0,0,0,99.66999,85.589,0.0002343526,58.41459,7.915605E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_474.jpg,3.039059,0,0,0,99.66999,85.589,0.0002360964,58.77911,-5.751339E-07
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_521.jpg,5.854548,0,0,0,99.66999,85.589,0.0002364713,59.42118,-3.508508E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_571.jpg,8.877005,0,0,0,99.66999,85.589,0.0002365836,60.30391,-7.002523E-06
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_622.jpg,11.86541,0,0,0,99.66999,85.589,0.0002378853,62.25922,-1.356435E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_671.jpg,14.85141,0,0,0,99.66999,85.589,0.0002385132,63.8627,-1.924371E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_722.jpg,15,0,0,0,99.66999,85.589,0.0002387349,66.5627,-2.710175E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_772.jpg,15,0,0,0,99.66999,85.589,0.0002391254,69.2627,-3.452549E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_821.jpg,13.99393,0,0,0,99.66999,85.589,0.000238552,71.00233,-3.791174E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_872.jpg,11.96179,0,0,0,99.66999,85.589,0.0002381625,73.21713,-4.148698E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_922.jpg,8.935046,0,0,0,99.66999,85.589,0.0002383912,74.34827,-4.180745E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_22_972.jpg,5.916515,0,0,0,99.66999,85.58903,0.0002393724,75.59419,-3.9373E-05
C:\Users\Girija\RoboND-Python-StarterKit\RoboND-Rover-Project-master\RoboND-Rover-Project-master\IMG\robocam_2017_07_04_09_17_23_022.jpg,2.928621,0,0,0,99.66999,85.58903,0.0002405162,76.00535,-3.562494E-05
